drug1,drug2,enzyme_overlap,target_overlap,pathway_overlap,transporter_overlap,side_effect_overlap,interaction,risk_score,severity
Diclofenac,Exenatide,None,None,None,None,None,0,0.0567,LOW
Atorvastatin,Salmeterol,None,None,None,None,None,0,0.0207,LOW
Carvedilol,Albuterol,None,Beta-2 adrenergic receptor,None,None,None,0,0.1081,LOW
Saquinavir,Carbamazepine,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Ciprofloxacin,Naproxen,None,None,None,OAT3,None,1,0.1196,LOW
Glipizide,Warfarin,CYP2C9,None,None,None,None,1,0.3559,MEDIUM
Glipizide,Prednisone,None,None,None,None,Weight gain,1,0.1259,LOW
Metoprolol,Felodipine,None,None,None,P-glycoprotein (P-gp),None,0,0.1369,LOW
Pantoprazole,Esmolol,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Nimodipine,Bumetanide,None,None,None,None,None,0,0.0779,LOW
Cimetidine,Nizatidine,CYP2D6 (minor),Histamine H2 receptor,Gastric acid secretion pathway,OCT2;MATE1,Dizziness;Headache;Gynecomastia (cimetidine only),1,0.9339,CRITICAL
Atazanavir,Ranitidine,None,None,None,None,None,0,0.04,LOW
Atenolol,Canagliflozin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Atenolol,Lacosamide,None,None,None,P-glycoprotein (P-gp),None,0,0.1036,LOW
Dapagliflozin,Fludrocortisone,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Ibuprofen,Candethartan,CYP2C9,None,None,None,None,1,0.4174,MEDIUM
Diltiazem,Empagliflozin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Pitavastatin,Prednisone,CYP3A4,None,None,None,None,1,0.438,MEDIUM
Naratriptan,Oxazepam,None,None,None,P-glycoprotein (P-gp),None,0,0.1266,LOW
Itraconazole,Oxazepam,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Glimepiride,Erythromycin,None,None,None,None,None,0,0.0533,LOW
Sotagliflozin,Indinavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1035,LOW
Labetalol,Ciprofloxacin,None,None,None,None,None,0,0.0683,LOW
Methylprednisolone,Metolazone,None,None,None,None,None,0,0.04,LOW
Escitalopram,Topiramate,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.5035,HIGH
Hydrochlorothiazide,Exenatide,None,None,None,None,None,0,0.0792,LOW
Meloxicam,Brexpiprazole,None,None,None,None,None,0,0.0263,LOW
Fluconazole,Triamcinolone,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Lansoprazole,Amlodipine,CYP3A4,None,None,P-glycoprotein (P-gp),Headache,1,0.6892,HIGH
Captopril,Nebivolol,None,None,None,None,None,0,0.0515,LOW
Nimodipine,Risperidone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4665,MEDIUM
Fluconazole,Tipranavir,None,None,None,P-glycoprotein (P-gp),Hepatotoxicity,1,0.244,LOW
Vilanterol,Lorazepam,None,None,None,None,None,0,0.0185,LOW
Methylprednisolone,Clozapine,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5442,HIGH
Sertraline,Moxifloxacin,None,None,None,None,None,0,0.024,LOW
Citalopram,Quetiapine,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.4748,MEDIUM
Nifedipine,Levofloxacin,None,None,None,None,None,0,0.0455,LOW
Celecoxib,Torsemide,None,None,None,OAT1;OAT3,None,0,0.1,LOW
Tolbutamide,Oxcarbazepine,CYP2C9,None,None,None,None,1,0.4235,MEDIUM
Ciprofloxacin,Ketoconazole,None,None,None,None,QTc prolongation,1,0.1745,LOW
Perindopril,Metolazone,None,None,None,None,None,0,0.0211,LOW
Ertugliflozin,Betamethasone,None,None,None,P-glycoprotein (P-gp),None,0,0.12,LOW
Diclofenac,Salmeterol,None,None,None,None,None,0,0.0345,LOW
Gliclazide,Topiramate,CYP2C9,None,None,None,None,1,0.4292,MEDIUM
Norfloxacin,Alendronate,None,None,None,None,None,0,0.0551,LOW
Fluvoxamine,Alogliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1145,LOW
Olmesartan,Clarithromycin,None,None,None,None,None,0,0.0764,LOW
Nabumetone,Lamotrigine,CYP2C9,None,None,None,None,1,0.3905,MEDIUM
Rabeprazole,Atenolol,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Chlorpropamide,Quetiapine,None,None,None,None,None,0,0.0532,LOW
Benazepril,Dulaglutide,None,None,None,None,None,0,0.0588,LOW
Levalbuterol,Clonazepam,None,None,None,None,None,0,0.0209,LOW
Posaconazole,Lamotrigine,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Tamsulosin,Clozapine,CYP2D6;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5388,HIGH
Moexipril,Losartan,None,None,Renin-angiotensin-aldosterone system (RAAS),None,Hyperkalemia;Hypotension,1,0.3702,MEDIUM
Alendronate,Eletriptan,None,None,None,None,None,0,0.0428,LOW
Amlodipine,Fluconazole,None,None,None,P-glycoprotein (P-gp),None,1,0.1001,LOW
Rizatriptan,Carbamazepine,None,None,None,P-glycoprotein (P-gp),Dizziness,0,0.258,MEDIUM
Nadolol,Triazolam,None,None,None,P-glycoprotein (P-gp),None,1,0.1226,LOW
Nadolol,Furosemide,None,None,None,None,None,0,0.0599,LOW
Dapagliflozin,Protriptyline,None,None,None,P-glycoprotein (P-gp),None,1,0.1029,LOW
Labetalol,Zolmitriptan,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Atorvastatin,Levofloxacin,None,None,None,None,None,0,0.0366,LOW
Metformin,Candethartan,None,None,None,None,None,0,0.0648,LOW
Timolol,Naproxen,None,None,None,None,None,0,0.045,LOW
Rabeprazole,Prednisone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4978,MEDIUM
Indinavir,Budesonide,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Glimepiride,Ketorolac,CYP2C9,None,None,None,None,1,0.4442,MEDIUM
Moexipril,Glimepiride,None,None,None,None,None,0,0.0334,LOW
Amlodipine,Ketorolac,None,None,None,None,None,0,0.0627,LOW
Warfarin,Clozapine,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4705,MEDIUM
Empagliflozin,Diazepam,None,None,None,P-glycoprotein (P-gp),None,0,0.1442,LOW
Diclofenac,Ritonavir,None,None,None,None,None,0,0.0362,LOW
Ketorolac,Lurasidone,None,None,None,None,None,0,0.035,LOW
Esmolol,Rivaroxaban,None,None,None,P-glycoprotein (P-gp),None,0,0.1273,LOW
Ketorolac,Cimetidine,None,None,None,None,None,0,0.0633,LOW
Itraconazole,Atazanavir,None,None,None,P-glycoprotein (P-gp),Hepatotoxicity,1,0.2732,MEDIUM
Zonisamide,Ziprasidone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5077,HIGH
Oxazepam,Chlorthalidone,None,None,None,None,None,0,0.0176,LOW
Glipizide,Vilanterol,None,None,None,None,None,0,0.0686,LOW
Metoprolol,Midazolam,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Fosinopril,Etodolac,None,None,None,None,None,0,0.0438,LOW
Metformin,Bumetanide,None,None,None,None,None,0,0.0529,LOW
Pantoprazole,Rivaroxaban,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5093,HIGH
Amlodipine,Alfuzosin,CYP3A4,None,None,P-glycoprotein (P-gp),Dizziness,1,0.6773,HIGH
Dapagliflozin,Ibandronate,None,None,None,None,None,0,0.0221,LOW
Sumatriptan,Alogliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Ranitidine,Saxagliptin,None,None,None,None,Headache,0,0.1923,LOW
Carvedilol,Nortriptyline,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.492,MEDIUM
Rosuvastatin,Formoterol,None,None,None,None,None,0,0.0203,LOW
Ketorolac,Pamidronate,None,None,None,None,None,0,0.0308,LOW
Dapagliflozin,Oxazepam,None,None,None,P-glycoprotein (P-gp),None,1,0.1017,LOW
Carvedilol,Almotriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1217,LOW
Pitavastatin,Salmeterol,None,None,None,None,None,0,0.0363,LOW
Naratriptan,Nortriptyline,CYP1A2,None,None,P-glycoprotein (P-gp),None,1,0.4986,MEDIUM
Risedronate,Almotriptan,None,None,None,None,None,0,0.0417,LOW
Frovatriptan,Ziprasidone,CYP1A2,None,None,P-glycoprotein (P-gp),None,1,0.5499,HIGH
Prednisone,Sitagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Empagliflozin,Olodaterol,None,None,None,None,None,0,0.0574,LOW
Chlordiazepoxide,Oxazepam,UGT1A4;CYP2C19;CYP3A4,GABA-A receptor (alpha-1/2/3/5 subunits),GABAergic neurotransmission pathway,P-glycoprotein (P-gp),Tolerance;Respiratory depression;Dependence;Anterograde amnesia;Sedation,1,1.0,CRITICAL
Nadolol,Gemifloxacin,None,None,None,None,None,0,0.0629,LOW
Dabigatran,Fondaparinux,CYP2C9;CYP3A4,Vitamin K epoxide reductase (VKORC1);Coagulation Factor Xa,Coagulation cascade,P-glycoprotein (P-gp);BCRP,Bleeding;Hematoma;Hemorrhage;Thrombocytopenia,1,1.0,CRITICAL
Clonazepam,Vildagliptin,None,None,None,P-glycoprotein (P-gp),None,1,0.1068,LOW
Ramipril,Amitriptyline,None,None,None,None,None,0,0.0604,LOW
Pravastatin,Meloxicam,None,None,None,None,None,0,0.0168,LOW
Methylprednisolone,Brexpiprazole,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5158,HIGH
Esomeprazole,Fluconazole,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Trandolapril,Darunavir,None,None,None,None,None,0,0.0532,LOW
Nisoldipine,Glyburide,None,None,None,None,None,0,0.0495,LOW
Hydrochlorothiazide,Semaglutide,None,None,None,None,None,0,0.0431,LOW
Saquinavir,Chlorthalidone,None,None,None,None,None,0,0.0377,LOW
Rabeprazole,Ertugliflozin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Candethartan,Salmeterol,None,None,None,None,None,0,0.0568,LOW
Labetalol,Zoledronic acid,None,None,None,None,None,0,0.0239,LOW
Budesonide,Paliperidone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5425,HIGH
Telithromycin,Terazosin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Esomeprazole,Desipramine,None,None,None,P-glycoprotein (P-gp),None,1,0.1494,LOW
Nelfinavir,Triamcinolone,None,None,None,P-glycoprotein (P-gp),None,0,0.1193,LOW
Metformin,Alogliptin,None,None,None,None,None,0,0.0396,LOW
Empagliflozin,Saquinavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Omeprazole,Rivaroxaban,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5379,HIGH
Lacosamide,Cariprazine,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.456,MEDIUM
Telmisartan,Alfuzosin,CYP3A4,None,None,None,Dizziness,1,0.5118,HIGH
Indinavir,Sitagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Edoxaban,Indapamide,None,None,None,None,None,0,0.0169,LOW
Indomethacin,Diazepam,None,None,None,None,None,0,0.0359,LOW
Isradipine,Ibandronate,None,None,None,None,None,0,0.0704,LOW
Pitavastatin,Lansoprazole,CYP3A4,None,None,None,Headache,1,0.5202,HIGH
Albuterol,Saxagliptin,None,None,None,None,None,0,0.0717,LOW
Dabigatran,Fluconazole,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Citalopram,Lixisenatide,None,None,None,None,Nausea,1,0.1781,LOW
Tamsulosin,Fludrocortisone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5161,HIGH
Nifedipine,Nisoldipine,CYP3A4,L-type voltage-gated calcium channel (CACNA1C),Calcium signaling pathway,P-glycoprotein (P-gp),Dizziness;Headache;Peripheral edema;Bradycardia (non-DHPs);Flushing,1,0.9734,CRITICAL
Trandolapril,Indacaterol,None,None,None,None,None,0,0.018,LOW
Nebivolol,Labetalol,CYP2D6,Beta-1 adrenergic receptor;Beta-2 adrenergic receptor,Adrenergic signaling pathway,P-glycoprotein (P-gp),Bronchospasm;Bradycardia;Cold extremities;Insomnia;Fatigue,1,0.9059,CRITICAL
Losartan,Exenatide,None,None,None,None,None,0,0.0153,LOW
Enalapril,Ranitidine,None,None,None,None,None,0,0.0452,LOW
Gemifloxacin,Doxazosin,None,None,None,None,None,0,0.021,LOW
Perindopril,Fluvoxamine,None,None,None,None,None,0,0.0179,LOW
Isavuconazole,Brexpiprazole,None,None,None,P-glycoprotein (P-gp),QTc prolongation,0,0.2888,MEDIUM
Lovastatin,Bumetanide,None,None,None,None,None,0,0.0788,LOW
Azilsartan,Terazosin,CYP3A4,None,None,None,Dizziness,1,0.532,HIGH
Betamethasone,Vilanterol,None,None,None,None,None,0,0.0768,LOW
Captopril,Lixisenatide,None,None,None,None,None,0,0.0473,LOW
Oxcarbazepine,Clonazepam,CYP2C19;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5851,HIGH
Esmolol,Valsartan,None,None,None,None,None,0,0.0383,LOW
Almotriptan,Ziprasidone,CYP1A2,None,None,P-glycoprotein (P-gp),None,1,0.5088,HIGH
Betamethasone,Chlorthalidone,None,None,None,None,None,0,0.0154,LOW
Glyburide,Topiramate,CYP2C9,None,None,None,None,1,0.3915,MEDIUM
Lisinopril,Eprosartan,None,None,Renin-angiotensin-aldosterone system (RAAS),None,Hyperkalemia;Hypotension,0,0.3192,MEDIUM
Naratriptan,Silodosin,None,None,None,P-glycoprotein (P-gp),Dizziness,1,0.2264,LOW
Empagliflozin,Doxazosin,None,None,None,P-glycoprotein (P-gp),None,1,0.1026,LOW
Ketoconazole,Chlordiazepoxide,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Propranolol,Nelfinavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1292,LOW
Moxifloxacin,Metformin,None,None,None,MATE1,None,1,0.1012,LOW
Indomethacin,Alfuzosin,None,None,None,None,None,0,0.0678,LOW
Nimodipine,Budesonide,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4553,MEDIUM
Empagliflozin,Lixisenatide,None,None,None,None,None,0,0.0323,LOW
Metformin,Chlorthalidone,None,None,None,None,None,0,0.067,LOW
Candethartan,Warfarin,CYP2C9;CYP3A4,None,None,BCRP,None,1,0.5113,HIGH
Labetalol,Carbamazepine,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Verapamil,Etidronate,None,None,None,None,None,0,0.0549,LOW
Nelfinavir,Indapamide,None,None,None,None,None,0,0.0763,LOW
Metformin,Eletriptan,None,None,None,None,None,0,0.0291,LOW
Alendronate,Lopinavir,None,None,None,None,None,0,0.0288,LOW
Dexlansoprazole,Celecoxib,None,None,None,None,None,0,0.0332,LOW
Glimepiride,Ibuprofen,CYP2C9,None,None,None,None,1,0.4141,MEDIUM
Perindopril,Nizatidine,None,None,None,None,None,0,0.0427,LOW
Naratriptan,Lixisenatide,None,None,None,None,None,0,0.0119,LOW
Rabeprazole,Fludrocortisone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4676,MEDIUM
Citalopram,Amitriptyline,CYP2D6,Serotonin transporter (SERT),None,P-glycoprotein (P-gp),None,1,0.5642,HIGH
Pantoprazole,Salmeterol,None,None,None,None,None,0,0.0587,LOW
Warfarin,Itraconazole,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Nicardipine,Ciprofloxacin,None,None,None,None,None,0,0.0107,LOW
Eprosartan,Lacosamide,CYP2C9;CYP3A4,None,None,None,Dizziness,1,0.6092,HIGH
Carvedilol,Lorazepam,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Simvastatin,Temazepam,CYP3A4,None,None,None,None,1,0.3787,MEDIUM
Protriptyline,Furosemide,None,None,None,None,None,0,0.0727,LOW
Fosinopril,Nabumetone,None,None,None,None,None,0,0.0702,LOW
Indomethacin,Dabigatran,CYP2C9,None,None,None,None,1,0.3894,MEDIUM
Nadolol,Sertraline,CYP2D6,None,None,P-glycoprotein (P-gp),Insomnia,1,0.6427,HIGH
Nizatidine,Liraglutide,None,None,None,None,None,0,0.047,LOW
Sumatriptan,Phenytoin,None,None,None,P-glycoprotein (P-gp),Dizziness,1,0.2114,LOW
Eprosartan,Phenytoin,CYP2C9;CYP3A4,None,None,None,Dizziness,1,0.6263,HIGH
Cariprazine,Torsemide,None,None,None,None,None,0,0.0418,LOW
Delafloxacin,Temazepam,None,None,None,None,None,0,0.0195,LOW
Hydrocortisone,Hydrochlorothiazide,None,None,None,None,None,0,0.0525,LOW
Trandolapril,Semaglutide,None,None,None,None,None,0,0.0418,LOW
Pantoprazole,Paliperidone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4955,MEDIUM
Lovastatin,Celecoxib,None,None,None,None,None,0,0.048,LOW
Formoterol,Vildagliptin,None,None,None,None,None,0,0.0703,LOW
Alendronate,Albuterol,None,None,None,None,None,0,0.0203,LOW
Isradipine,Exenatide,None,None,None,None,None,0,0.0596,LOW
Escitalopram,Nelfinavir,None,None,None,P-glycoprotein (P-gp),None,1,0.1252,LOW
Famotidine,Alogliptin,None,None,None,None,Headache,1,0.1829,LOW
Zonisamide,Paliperidone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5253,HIGH
Voriconazole,Ranitidine,None,None,None,None,None,0,0.0754,LOW
Norfloxacin,Ziprasidone,None,None,None,None,QTc prolongation,1,0.1022,LOW
Lisinopril,Itraconazole,None,None,None,None,None,0,0.0634,LOW
Amitriptyline,Nortriptyline,CYP2D6;CYP1A2,Norepinephrine transporter (NET);Muscarinic/Histamine receptors;Serotonin transporter (SERT),Monoaminergic neurotransmission pathway,P-glycoprotein (P-gp),QTc prolongation;Orthostatic hypotension;Anticholinergic effects;Weight gain;Sedation,1,0.9881,CRITICAL
Captopril,Rabeprazole,None,None,None,None,None,0,0.0648,LOW
Propranolol,Fluconazole,None,None,None,P-glycoprotein (P-gp),None,0,0.1065,LOW
Chlorpropamide,Diazepam,None,None,None,None,None,0,0.0377,LOW
Fluoxetine,Ritonavir,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Dabigatran,Rizatriptan,None,None,None,P-glycoprotein (P-gp),None,1,0.1416,LOW
Topiramate,Saxagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Pantoprazole,Delafloxacin,None,None,None,None,None,0,0.0256,LOW
Posaconazole,Terazosin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Indomethacin,Terazosin,None,None,None,None,None,0,0.0335,LOW
Valsartan,Rivaroxaban,CYP2C9;CYP3A4,None,None,BCRP,None,1,0.5805,HIGH
Erythromycin,Diazepam,None,None,None,P-glycoprotein (P-gp),None,1,0.1444,LOW
Diazepam,Cariprazine,CYP3A4,None,None,P-glycoprotein (P-gp),Sedation,1,0.6932,HIGH
Metformin,Brexpiprazole,None,None,None,None,None,0,0.077,LOW
Esomeprazole,Etodolac,None,None,None,None,None,0,0.0542,LOW
Itraconazole,Hydrochlorothiazide,None,None,None,None,None,0,0.0375,LOW
Amlodipine,Cimetidine,None,None,None,None,Dizziness;Headache,1,0.1884,LOW
Eprosartan,Dabigatran,CYP2C9;CYP3A4,None,None,BCRP,None,1,0.5997,HIGH
Nebivolol,Glipizide,None,None,None,None,None,0,0.0749,LOW
Ramipril,Carbamazepine,None,None,None,None,None,0,0.0119,LOW
Edoxaban,Frovatriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Tipranavir,Clonazepam,None,None,None,P-glycoprotein (P-gp),None,0,0.1229,LOW
Glimepiride,Saxagliptin,None,None,None,None,None,0,0.0404,LOW
Dexamethasone,Metolazone,None,None,None,None,None,0,0.0439,LOW
Esomeprazole,Metoprolol,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Pantoprazole,Olmesartan,CYP3A4,None,None,None,None,1,0.4062,MEDIUM
Rivaroxaban,Posaconazole,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Almotriptan,Oxazepam,None,None,None,P-glycoprotein (P-gp),None,1,0.1141,LOW
Sumatriptan,Desipramine,CYP1A2,None,None,P-glycoprotein (P-gp),None,1,0.5418,HIGH
Celecoxib,Apixaban,CYP2C9,None,None,None,None,1,0.388,MEDIUM
Diclofenac,Formoterol,None,None,None,None,None,0,0.076,LOW
Ranitidine,Albuterol,None,None,None,None,None,0,0.0567,LOW
Moexipril,Nadolol,None,None,None,None,None,0,0.0273,LOW
Etidronate,Zonisamide,None,None,None,None,None,0,0.0423,LOW
Warfarin,Tamsulosin,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5356,HIGH
Indomethacin,Vildagliptin,None,None,None,None,None,0,0.0299,LOW
Posaconazole,Risperidone,None,None,None,P-glycoprotein (P-gp),QTc prolongation,0,0.2269,LOW
Felodipine,Metolazone,None,None,None,None,None,0,0.0249,LOW
Fluconazole,Liraglutide,None,None,None,None,Nausea,0,0.1073,LOW
Pitavastatin,Zolmitriptan,None,None,None,None,None,0,0.033,LOW
Lansoprazole,Glyburide,None,None,None,None,None,0,0.0344,LOW
Atorvastatin,Dulaglutide,None,None,None,None,None,0,0.0495,LOW
Felodipine,Indacaterol,None,None,None,None,None,0,0.0177,LOW
Losartan,Formoterol,None,None,None,None,None,0,0.0227,LOW
Pamidronate,Protriptyline,None,None,None,None,None,0,0.0437,LOW
Quinapril,Nimodipine,None,None,None,None,None,0,0.0367,LOW
Metoprolol,Terazosin,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.5207,HIGH
Alendronate,Rizatriptan,None,None,None,None,None,0,0.0649,LOW
Enalapril,Quetiapine,None,None,None,None,None,0,0.0733,LOW
Naratriptan,Chlorthalidone,None,None,None,None,None,0,0.0231,LOW
Furosemide,Alogliptin,None,None,None,None,None,0,0.0318,LOW
Nicardipine,Nisoldipine,CYP3A4,L-type voltage-gated calcium channel (CACNA1C),Calcium signaling pathway,P-glycoprotein (P-gp),Dizziness;Headache;Peripheral edema;Bradycardia (non-DHPs);Flushing,1,0.9671,CRITICAL
Metformin,Fluconazole,None,None,None,None,Nausea,0,0.1771,LOW
Diazepam,Liraglutide,None,None,None,None,None,0,0.0697,LOW
Clevidipine,Desipramine,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Nelfinavir,Oxazepam,None,None,None,P-glycoprotein (P-gp),None,1,0.1389,LOW
Bisoprolol,Warfarin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Omeprazole,Nisoldipine,CYP3A4,None,None,P-glycoprotein (P-gp),Headache,1,0.6238,HIGH
Dexamethasone,Temazepam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4503,MEDIUM
Betamethasone,Paliperidone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5377,HIGH
Topiramate,Furosemide,None,None,None,None,None,0,0.0499,LOW
Alendronate,Lurasidone,None,None,None,None,None,0,0.073,LOW
Esmolol,Felodipine,None,None,None,P-glycoprotein (P-gp),None,1,0.1283,LOW
Delafloxacin,Telmisartan,None,None,None,None,None,0,0.0749,LOW
Etidronate,Lacosamide,None,None,None,None,None,0,0.0135,LOW
Ciprofloxacin,Dulaglutide,None,None,None,None,None,0,0.0385,LOW
Valsartan,Erythromycin,None,None,None,None,None,0,0.0112,LOW
Fluoxetine,Saxagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1396,LOW
Protriptyline,Bumetanide,None,None,None,None,None,0,0.0145,LOW
Apixaban,Saquinavir,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Rizatriptan,Hydrochlorothiazide,None,None,None,None,None,0,0.0324,LOW
Metformin,Apixaban,None,None,None,None,None,0,0.0712,LOW
Ketorolac,Frovatriptan,None,None,None,None,None,0,0.076,LOW
Enalapril,Valproate,None,None,None,None,None,0,0.0282,LOW
Nicardipine,Ziprasidone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4624,MEDIUM
Carvedilol,Formoterol,None,Beta-2 adrenergic receptor,None,None,None,1,0.1333,LOW
Indomethacin,Ritonavir,None,None,None,None,None,0,0.0277,LOW
Topiramate,Metolazone,None,None,None,None,None,0,0.0242,LOW
Ketorolac,Furosemide,None,None,None,OAT1;OAT3,None,1,0.1297,LOW
Nadolol,Nelfinavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Edoxaban,Lorazepam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5485,HIGH
Tolbutamide,Olmesartan,CYP2C9,None,None,OATP1B1,None,1,0.5139,HIGH
Dabigatran,Fludrocortisone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5156,HIGH
Terazosin,Indacaterol,None,None,None,None,None,0,0.0509,LOW
Pitavastatin,Cimetidine,None,None,None,None,Headache,0,0.1246,LOW
Esomeprazole,Tipranavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1469,LOW
Felodipine,Dapagliflozin,None,None,None,P-glycoprotein (P-gp),None,0,0.1345,LOW
Diclofenac,Budesonide,None,None,None,None,None,0,0.0777,LOW
Zolmitriptan,Nelfinavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1182,LOW
Gemifloxacin,Budesonide,None,None,None,None,None,0,0.0797,LOW
Empagliflozin,Eletriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Escitalopram,Doxepin,CYP2D6,Serotonin transporter (SERT),None,P-glycoprotein (P-gp),None,1,0.565,HIGH
Atorvastatin,Valproate,CYP3A4,None,None,None,None,1,0.3636,MEDIUM
Indomethacin,Vilanterol,None,None,None,None,None,0,0.032,LOW
Itraconazole,Doxepin,None,None,None,P-glycoprotein (P-gp),QTc prolongation,1,0.2881,MEDIUM
Paroxetine,Naratriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Propranolol,Alogliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1219,LOW
Escitalopram,Chlorpropamide,None,None,None,None,None,0,0.0458,LOW
Fluvoxamine,Doxepin,CYP2D6,Serotonin transporter (SERT),None,P-glycoprotein (P-gp),None,1,0.6431,HIGH
Warfarin,Alfuzosin,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4913,MEDIUM
Valsartan,Ritonavir,None,None,None,None,None,0,0.0189,LOW
Esmolol,Alogliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Fluoxetine,Hydrochlorothiazide,None,None,None,None,None,0,0.07,LOW
Felodipine,Valsartan,CYP3A4,None,None,None,Dizziness,1,0.5167,HIGH
Levofloxacin,Prednisone,None,None,None,None,None,0,0.0682,LOW
Edoxaban,Triazolam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5443,HIGH
Etidronate,Betamethasone,None,None,None,None,None,0,0.0175,LOW
Celecoxib,Olmesartan,CYP2C9,None,None,None,None,1,0.4235,MEDIUM
Fluvastatin,Topiramate,CYP3A4,None,None,None,None,1,0.4471,MEDIUM
Piroxicam,Zoledronic acid,None,None,None,None,None,0,0.0133,LOW
Lovastatin,Phenytoin,CYP3A4,None,None,None,None,1,0.3742,MEDIUM
Ramipril,Ketoconazole,None,None,None,None,None,0,0.056,LOW
Rabeprazole,Ibuprofen,None,None,None,None,None,0,0.0302,LOW
Norfloxacin,Ibandronate,None,None,None,None,None,0,0.0407,LOW
Delafloxacin,Rizatriptan,None,None,None,None,None,0,0.0691,LOW
Canagliflozin,Triazolam,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
